Perioden;Plaats;Uitkeringsontvangers, totaal |Uitkeringsontvangers, totaal;Uitkeringsontvangers, totaal |Tot de AOW- leeftijd;Uitkeringsontvangers, totaal |Vanaf de AOW- leeftijd;Uitkeringsontvangers per soort uitkering|Werkloosheid;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd)  tot AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) vanaf AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand tot de AOW-leeftijd;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Arbeidsongeschiktheid, totaal;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WAO-uitkering;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WIA-uitkering: WGA-regeling;Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Wajong-uitkering;Uitkeringsontvangers per soort uitkering|AOW
2019 oktober;Weert;14930;4050;10880;720;1050;130;940;2360;700;720;530;10880
2019 november;Weert;14950;4040;10900;720;1040;130;940;2360;690;720;530;10900
2019 december;Weert;14990;4090;10900;760;1040;130;940;2370;690;730;530;10890
2020 januari;Weert;14960;4070;10890;720;1040;130;940;2380;680;730;530;10890
2020 februari;Weert;14990;4090;10900;730;1040;130;940;2390;680;730;540;10900
2020 maart;Weert;15830;4920;10910;760;1880;140;960;2390;680;740;540;10910
2020 april*;Weert;16150;5250;10900;810;2170;140;970;2400;670;750;540;10890
2020 mei*;Weert;15990;5080;10920;780;2020;140;970;2400;670;750;540;10910
2020 juni*;Weert;15430;4490;10940;780;1420;130;960;2390;660;750;530;10930
2020 juli*;Weert;15330;4350;10980;790;1270;130;960;2380;650;750;530;10970
2020 augustus*;Weert;15310;4310;11010;800;1230;130;960;2370;640;750;520;11000
2020 september*;Weert;15280;4250;11030;770;1200;140;940;2370;640;760;510;11020
2020  oktober*;Weert;15270;4240;11030;720;1210;140;950;2400;640;760;560;11030
2020 november*;Weert;15290;4250;11040;720;1230;140;950;2390;630;760;560;11040
2020 december*;Weert;15390;4340;11050;740;1300;140;960;2400;630;760;560;11040
2021 januari*;Weert;15470;4440;11030;740;1370;140;960;2420;620;770;570;11030
2021 februari*;Weert;15530;4470;11060;750;1390;140;980;2430;620;770;570;11060
2021 maart*;Weert;15480;4390;11090;710;1340;130;980;2420;620;770;570;11090
2021 april*;Weert;15370;4270;11100;700;1230;130;970;2420;610;770;570;11100
2021 mei*;Weert;15310;4190;11120;610;1230;130;970;2420;610;770;560;11120
2021 juni*;Weert;15230;4110;11120;580;1200;130;960;2400;600;760;560;11120
2021 juli*;Weert;15200;4070;11130;620;1130;130;960;2390;600;760;550;11130
2021 augustus*;Weert;15230;4070;11160;610;1140;140;960;2390;600;770;550;11150
2021 september*;Weert;15190;4030;11170;560;1130;130;950;2400;590;770;560;11170
2021 oktober*;Weert;15150;3970;11180;560;1030;130;940;2450;590;830;560;11180
2021 november*;Weert;15100;3930;11170;520;1030;130;940;2450;580;830;560;11170
2021 december*;Weert;15110;3940;11170;520;1030;130;940;2460;580;840;550;11170
2022 januari*;Weert;15090;3960;11130;530;1030;130;930;2470;580;850;550;11130
2022 februari*;Weert;15060;3980;11090;510;1040;130;940;2500;580;870;560;11080
2022 maart*;Weert;14990;3960;11040;500;1030;130;940;2500;580;870;560;11040
2022 april*;Weert;14980;3930;11040;480;1020;130;940;2500;570;870;560;11040
2022 mei*;Weert;14930;3870;11060;430;1020;120;940;2490;570;860;560;11060
2022 juni*;Weert;14870;3800;11060;410;1010;130;920;2450;560;840;550;11060
2022 juli*;Weert;14910;3830;11080;440;1000;120;920;2450;560;840;560;11080
2022 augustus*;Weert;14920;3830;11090;460;990;120;910;2460;550;850;550;11080
2022 september*;Weert;14910;3810;11100;440;980;120;900;2460;550;840;550;11100
2019 oktober;Beekdaelen;11410;2820;8590;400;510;50;470;1950;630;460;370;8590
2019 november;Beekdaelen;11440;2830;8610;410;510;50;470;1940;630;470;360;8600
2019 december;Beekdaelen;11470;2850;8620;430;520;50;470;1940;620;470;360;8620
2020 januari;Beekdaelen;11500;2860;8640;430;520;50;480;1940;620;470;360;8630
2020 februari;Beekdaelen;11550;2880;8670;430;530;60;490;1960;620;480;370;8660
2020 maart;Beekdaelen;12490;3830;8660;460;1510;70;480;1960;610;480;370;8650
2020 april*;Beekdaelen;12540;3900;8650;500;1540;70;500;1960;610;480;370;8640
2020 mei*;Beekdaelen;12500;3840;8650;470;1510;70;500;1960;610;480;370;8650
2020 juni*;Beekdaelen;11690;3040;8650;460;690;60;510;1940;600;480;370;8640
2020 juli*;Beekdaelen;11670;3000;8670;450;690;60;510;1920;600;480;360;8660
2020 augustus*;Beekdaelen;11700;3020;8680;470;680;70;510;1930;590;480;360;8670
2020 september*;Beekdaelen;11700;3010;8690;440;670;60;510;1950;590;490;370;8680
2020  oktober*;Beekdaelen;11670;2990;8680;430;650;60;510;1970;580;490;390;8670
2020 november*;Beekdaelen;11730;3040;8690;420;700;60;520;1970;580;500;390;8680
2020 december*;Beekdaelen;11770;3080;8690;430;740;60;510;1960;570;490;400;8690
2021 januari*;Beekdaelen;11850;3160;8700;450;800;60;510;1960;570;490;400;8690
2021 februari*;Beekdaelen;11870;3160;8710;450;810;60;520;1960;560;500;400;8710
2021 maart*;Beekdaelen;11800;3070;8730;420;750;60;510;1950;560;500;390;8720
2021 april*;Beekdaelen;11720;2990;8730;410;680;60;510;1950;550;490;390;8720
2021 mei*;Beekdaelen;11670;2930;8740;350;680;60;500;1950;550;490;390;8730
2021 juni*;Beekdaelen;11650;2890;8760;350;660;60;510;1930;540;490;380;8750
2021 juli*;Beekdaelen;11620;2850;8770;350;610;60;510;1930;530;490;390;8770
2021 augustus*;Beekdaelen;11600;2850;8750;360;620;60;510;1920;530;480;380;8750
2021 september*;Beekdaelen;11580;2810;8770;330;610;60;500;1910;520;480;380;8770
2021 oktober*;Beekdaelen;11590;2800;8780;340;540;60;500;1970;520;540;390;8780
2021 november*;Beekdaelen;11560;2800;8770;320;550;60;500;1970;520;550;390;8760
2021 december*;Beekdaelen;11560;2810;8760;320;560;60;500;1980;510;550;390;8750
2022 januari*;Beekdaelen;11550;2820;8730;320;550;60;490;1990;520;570;390;8730
2022 februari*;Beekdaelen;11510;2820;8690;310;540;60;490;2020;520;580;390;8690
2022 maart*;Beekdaelen;11480;2810;8670;300;540;60;490;2020;520;570;390;8660
2022 april*;Beekdaelen;11470;2790;8680;290;520;60;490;2020;510;580;390;8670
2022 mei*;Beekdaelen;11430;2730;8700;250;520;60;480;2010;500;570;390;8700
2022 juni*;Beekdaelen;11430;2700;8730;240;510;60;480;1990;500;570;380;8720
2022 juli*;Beekdaelen;11440;2700;8740;240;510;50;480;1990;500;570;380;8740
2022 augustus*;Beekdaelen;11470;2720;8760;260;510;60;480;1980;500;560;370;8750
2022 september*;Beekdaelen;11490;2710;8780;250;500;50;470;1990;490;570;370;8770
2019 oktober;Breda;45090;13630;31460;2510;5080;570;4540;6230;1670;1500;1850;31430
2019 november;Breda;45160;13620;31540;2500;5050;580;4500;6260;1650;1510;1860;31510
2019 december;Breda;45270;13700;31570;2630;5030;580;4480;6250;1640;1530;1860;31540
2020 januari;Breda;45270;13670;31600;2590;5020;590;4470;6260;1630;1540;1860;31570
2020 februari;Breda;45400;13760;31630;2650;5020;580;4460;6300;1620;1560;1890;31600
2020 maart;Breda;49520;17910;31610;3010;8920;600;4520;6300;1600;1570;1890;31580
2020 april*;Breda;50250;18670;31580;3270;9420;600;4580;6310;1610;1560;1890;31550
2020 mei*;Breda;50300;18650;31660;3340;9340;600;4610;6300;1590;1570;1890;31620
2020 juni*;Breda;47930;16230;31700;3350;6910;600;4620;6240;1570;1580;1840;31670
2020 juli*;Breda;47720;15950;31770;3220;6780;600;4630;6220;1560;1580;1850;31740
2020 augustus*;Breda;47730;15920;31820;3290;6690;600;4640;6200;1540;1580;1840;31790
2020 september*;Breda;47520;15620;31900;3120;6580;600;4630;6170;1520;1580;1820;31870
2020  oktober*;Breda;47410;15500;31910;3110;6380;600;4630;6250;1510;1590;1920;31870
2020 november*;Breda;47460;15500;31970;3090;6380;610;4630;6280;1500;1620;1930;31930
2020 december*;Breda;47710;15720;31990;3140;6580;610;4670;6280;1490;1630;1930;31960
2021 januari*;Breda;47920;15920;32000;3120;6780;620;4690;6290;1490;1640;1940;31970
2021 februari*;Breda;47810;15780;32040;3030;6710;620;4680;6300;1480;1660;1940;32010
2021 maart*;Breda;47570;15480;32100;2870;6560;610;4690;6300;1460;1650;1950;32070
2021 april*;Breda;47160;15020;32140;2780;6200;610;4680;6290;1450;1650;1940;32110
2021 mei*;Breda;46810;14640;32170;2430;6170;620;4660;6280;1450;1660;1930;32140
2021 juni*;Breda;46680;14450;32230;2340;6120;620;4660;6230;1420;1640;1910;32200
2021 juli*;Breda;46310;14050;32260;2340;5720;620;4630;6200;1400;1650;1900;32230
2021 augustus*;Breda;46330;14010;32320;2330;5690;620;4620;6210;1390;1670;1910;32290
2021 september*;Breda;46200;13830;32370;2240;5610;620;4580;6200;1370;1690;1900;32340
2021 oktober*;Breda;45850;13450;32390;2220;5120;610;4570;6330;1370;1810;1890;32360
2021 november*;Breda;45830;13370;32460;2140;5110;620;4520;6330;1350;1810;1880;32430
2021 december*;Breda;45820;13380;32440;2140;5140;620;4510;6310;1340;1810;1880;32410
2022 januari*;Breda;45800;13450;32340;2150;5150;620;4500;6360;1340;1830;1890;32310
2022 februari*;Breda;45600;13370;32230;2050;5110;620;4480;6420;1340;1850;1910;32200
2022 maart*;Breda;45410;13310;32100;1950;5090;620;4480;6470;1330;1890;1910;32070
2022 april*;Breda;45250;13090;32160;1870;4940;610;4460;6470;1330;1900;1920;32130
2022 mei*;Breda;45140;12950;32190;1730;4940;610;4470;6470;1310;1910;1920;32160
2022 juni*;Breda;45070;12870;32200;1720;4910;620;4450;6430;1290;1910;1890;32160
2022 juli*;Breda;45150;12920;32230;1760;4860;620;4400;6430;1280;1910;1890;32200
2022 augustus*;Breda;45190;12900;32280;1800;4820;620;4350;6430;1270;1910;1910;32250
2022 september*;Breda;45180;12820;32360;1710;4820;630;4360;6420;1260;1920;1900;32320
2019 oktober;Echt-Susteren;10380;2950;7430;370;560;60;510;2060;660;480;550;7420
2019 november;Echt-Susteren;10410;2950;7450;390;560;70;510;2050;650;480;540;7450
2019 december;Echt-Susteren;10420;2970;7450;410;560;60;510;2040;640;470;540;7450
2020 januari;Echt-Susteren;10410;2930;7480;390;550;60;500;2030;630;470;540;7480
2020 februari;Echt-Susteren;10460;2950;7510;390;550;70;500;2050;630;480;540;7500
2020 maart;Echt-Susteren;11130;3610;7520;410;1230;90;510;2050;630;480;540;7510
2020 april*;Echt-Susteren;11290;3770;7510;440;1370;90;520;2040;620;480;540;7510
2020 mei*;Echt-Susteren;11270;3750;7520;460;1340;90;510;2030;620;470;540;7520
2020 juni*;Echt-Susteren;10760;3220;7540;460;810;70;520;2010;610;470;530;7540
2020 juli*;Echt-Susteren;10660;3100;7560;450;710;80;520;2000;600;470;530;7560
2020 augustus*;Echt-Susteren;10670;3080;7590;450;700;80;510;1990;590;470;530;7580
2020 september*;Echt-Susteren;10660;3060;7610;430;680;70;510;2000;590;480;540;7600
2020  oktober*;Echt-Susteren;10640;3040;7600;420;660;80;510;2010;580;480;550;7600
2020 november*;Echt-Susteren;10640;3030;7610;400;670;70;510;2010;580;490;550;7610
2020 december*;Echt-Susteren;10720;3090;7630;420;720;70;510;2000;570;490;550;7630
2021 januari*;Echt-Susteren;10750;3120;7630;430;750;80;510;2000;560;490;550;7620
2021 februari*;Echt-Susteren;10760;3110;7650;420;750;80;520;2000;560;500;550;7640
2021 maart*;Echt-Susteren;10720;3060;7660;400;710;80;520;2000;560;500;540;7660
2021 april*;Echt-Susteren;10650;2990;7660;400;640;70;510;2000;550;500;540;7660
2021 mei*;Echt-Susteren;10620;2950;7670;350;650;70;510;2010;540;510;540;7660
2021 juni*;Echt-Susteren;10610;2940;7670;350;650;70;510;2000;540;520;540;7670
2021 juli*;Echt-Susteren;10590;2900;7690;360;600;70;500;1990;530;520;540;7690
2021 augustus*;Echt-Susteren;10590;2880;7710;360;590;70;500;1980;530;510;530;7700
2021 september*;Echt-Susteren;10550;2840;7710;330;580;70;490;1980;520;510;530;7710
2021 oktober*;Echt-Susteren;10570;2850;7730;340;520;70;490;2030;520;560;540;7720
2021 november*;Echt-Susteren;10590;2830;7750;320;530;70;480;2030;510;560;540;7750
2021 december*;Echt-Susteren;10570;2830;7750;310;520;80;470;2030;500;570;540;7740
2022 januari*;Echt-Susteren;10550;2840;7720;320;520;80;470;2040;500;570;540;7720
2022 februari*;Echt-Susteren;10570;2870;7700;320;530;80;470;2070;510;590;540;7690
2022 maart*;Echt-Susteren;10510;2860;7650;310;510;70;460;2090;510;600;540;7640
2022 april*;Echt-Susteren;10490;2820;7670;280;490;80;470;2080;500;600;550;7660
2022 mei*;Echt-Susteren;10460;2780;7670;250;490;70;460;2090;490;600;550;7670
2022 juni*;Echt-Susteren;10460;2770;7690;240;490;70;460;2080;490;590;560;7680
2022 juli*;Echt-Susteren;10460;2750;7700;240;480;70;460;2070;480;580;560;7700
2022 augustus*;Echt-Susteren;10500;2760;7740;250;470;70;450;2070;480;580;560;7730
2022 september*;Echt-Susteren;10490;2750;7740;240;470;70;440;2080;480;590;550;7740
2019 oktober;Heerlen;31140;12740;18400;1140;4470;400;4150;7380;2190;1860;1810;18380
2019 november;Heerlen;31200;12780;18420;1190;4480;400;4160;7370;2170;1860;1810;18400
2019 december;Heerlen;31270;12830;18440;1290;4470;400;4160;7340;2150;1860;1800;18420
2020 januari;Heerlen;31340;12860;18480;1280;4500;410;4180;7340;2130;1870;1810;18460
2020 februari;Heerlen;31380;12890;18490;1290;4490;410;4180;7390;2130;1900;1820;18470
2020 maart;Heerlen;33200;14760;18440;1400;6350;430;4210;7390;2110;1920;1830;18430
2020 april*;Heerlen;33440;15020;18420;1530;6480;440;4290;7400;2100;1920;1830;18400
2020 mei*;Heerlen;33450;14990;18460;1510;6470;440;4310;7390;2090;1930;1830;18440
2020 juni*;Heerlen;32160;13670;18500;1540;5080;430;4350;7350;2050;1910;1830;18480
2020 juli*;Heerlen;32040;13520;18520;1460;5010;430;4350;7330;2040;1910;1830;18500
2020 augustus*;Heerlen;32030;13480;18550;1520;4930;430;4300;7310;2020;1910;1830;18540
2020 september*;Heerlen;31870;13280;18590;1410;4860;430;4250;7300;2000;1910;1820;18570
2020  oktober*;Heerlen;31900;13260;18640;1340;4860;430;4210;7340;1980;1920;1900;18620
2020 november*;Heerlen;31950;13280;18660;1300;4910;430;4250;7350;1960;1930;1910;18640
2020 december*;Heerlen;32220;13510;18710;1360;5070;440;4300;7360;1940;1940;1920;18690
2021 januari*;Heerlen;32360;13700;18670;1380;5240;450;4320;7380;1930;1950;1920;18650
2021 februari*;Heerlen;32390;13720;18670;1400;5240;450;4340;7380;1920;1960;1920;18650
2021 maart*;Heerlen;32270;13560;18710;1330;5150;450;4360;7370;1900;1960;1920;18690
2021 april*;Heerlen;32170;13450;18730;1310;5040;440;4330;7380;1890;1960;1920;18710
2021 mei*;Heerlen;31910;13180;18730;1110;4990;440;4320;7350;1870;1960;1920;18720
2021 juni*;Heerlen;31780;13020;18770;1040;4920;440;4300;7320;1850;1950;1900;18750
2021 juli*;Heerlen;31590;12790;18810;1070;4650;440;4270;7320;1840;1960;1900;18790
2021 augustus*;Heerlen;31600;12750;18850;1060;4620;440;4210;7340;1830;1970;1910;18830
2021 september*;Heerlen;31560;12670;18890;1020;4570;440;4160;7350;1810;1970;1900;18870
2021 oktober*;Heerlen;31550;12630;18920;990;4440;450;4170;7470;1800;2100;1900;18900
2021 november*;Heerlen;31500;12600;18900;970;4440;440;4140;7470;1780;2100;1900;18880
2021 december*;Heerlen;31590;12720;18870;1000;4510;450;4180;7480;1760;2110;1910;18850
2022 januari*;Heerlen;31570;12780;18790;1020;4530;450;4190;7500;1750;2130;1910;18770
2022 februari*;Heerlen;31490;12760;18730;970;4480;450;4150;7580;1760;2160;1940;18720
2022 maart*;Heerlen;31410;12760;18650;930;4460;440;4140;7640;1760;2180;1950;18630
2022 april*;Heerlen;31320;12670;18650;920;4400;450;4120;7630;1740;2180;1950;18630
2022 mei*;Heerlen;31190;12520;18670;790;4370;450;4100;7620;1730;2170;1950;18650
2022 juni*;Heerlen;31090;12400;18690;760;4340;450;4080;7560;1710;2150;1910;18670
2022 juli*;Heerlen;31090;12390;18700;780;4320;440;4050;7550;1680;2150;1920;18680
2022 augustus*;Heerlen;31100;12350;18750;790;4270;440;4010;7540;1670;2140;1920;18730
2022 september*;Heerlen;31100;12320;18780;780;4250;430;3990;7540;1650;2150;1920;18760
2019 oktober;Kerkrade;16620;6170;10450;530;1840;170;1730;3880;1160;970;930;10440
2019 november;Kerkrade;16600;6120;10480;530;1820;170;1710;3850;1140;960;920;10470
2019 december;Kerkrade;16690;6170;10520;600;1820;170;1700;3840;1120;970;920;10510
2020 januari;Kerkrade;16710;6170;10540;610;1820;170;1710;3820;1110;960;910;10530
2020 februari;Kerkrade;16730;6170;10560;600;1820;180;1710;3820;1100;970;920;10550
2020 maart;Kerkrade;17470;6970;10500;670;2590;190;1720;3830;1090;970;920;10490
2020 april*;Kerkrade;17620;7150;10470;750;2720;190;1730;3820;1080;970;920;10460
2020 mei*;Kerkrade;17540;7070;10470;740;2630;180;1730;3820;1070;980;930;10460
2020 juni*;Kerkrade;17010;6540;10480;780;2050;170;1720;3800;1060;970;910;10470
2020 juli*;Kerkrade;16900;6420;10480;720;1980;180;1720;3810;1050;980;910;10470
